Pos,team,Pld,W,D,L,GF,GA,GD,Pts,season,total_GKs,short_GKs,short_goal_pc,long_GKs,long_GK_pc,avg_GK_dist,all_scsfl_GKs,shrt_scsfl_GKs,lng_scsfl_GKs,short_avg_x_prog,fllw_shrt_x_rtrn,short_agg_gains,long_avg_x_prog,fllw_long_x_rtrn,long_agg_gains,GKs_distnce_std,ttl_avg_num_passes,ttl_avg_chain_speed,scsfl_prgpass_pcnt,scsfl_prgpass_avg_dist,ttl_prgpass_pcnt,ttl_prgpass_avg_dist,short_avg_num_passes,long_avg_num_passes,shrt_all_prgpass_pcnt,long_all_prgpass_pcnt,shrt_scsfl_prgpass_pcnt,long_scsfl_prgpass_pcnt,shrt_all_prgpass_avg_dist,long_all_prgpass_avg_dist,shrt_scsfl_prgpass_avg_dist,long_scsfl_prgpass_avg_dist,short_end_shot,short_shot_pc,long_end_shot,long_shot_pc,short_end_goal,short_GK_pc,long_end_goal,long_goal_pc,short_avg_xg,long_avg_xg,fllw_shrt_shots_rtrn,fllw_shrt_shots_pc,fllw_long_shots_rtrn,fllw_long_shots_pc,fllw_shrt_goals_rtrn,fllw_shrt_goals_pc,fllw_long_goals_rtrn,fllw_long_goals_pc,fllw_shrt_avg_xg_rtrn,fllw_long_avg_xg_rtrn,short_gains_map,long_gains_map,short_ntwrk_map,long_ntwrk_map,GK_pizza_plot,name_display
1,Arsenal WFC,20,18,0,2,70,13,57,54,2018/19,121,63,3.17,58,47.93,30.21,97,62,35,75.06,42.635,32.43,69.64,43.526,26.11,18.184,5.8843,4.0809,14.14,28.21,22.69,6.88,6.27,4.207,17.47,20.83,10.78,20.83,31.19,32.55,24.0,32.55,7,11.11,4,6.9,2,52.07,0,0.0,0.0401,0.0843,5,7.94,10,17.24,1,1.59,2,3.45,0.1137,0.089,Arsenal WFC | 2018/19,Arsenal WFC | 2018/19,Arsenal WFC | 2018/19,Arsenal WFC | 2018/19,Arsenal WFC | 2018/19,Arsenal WFC | 2018/19
2,Manchester City WFC,20,14,5,1,53,17,36,47,2018/19,155,77,0.0,78,50.32,33.25,113,76,37,72.77,48.262,24.51,68.53,54.751,13.78,20.868,5.6258,4.4403,15.63,33.77,26.73,5.32,6.831,3.09,18.44,27.89,11.61,27.89,33.72,36.99,31.23,36.99,5,6.49,7,8.97,0,49.68,3,3.85,0.1125,0.2608,17,22.08,19,24.36,0,0.0,0,0.0,0.0845,0.1113,Manchester City WFC | 2018/19,Manchester City WFC | 2018/19,Manchester City WFC | 2018/19,Manchester City WFC | 2018/19,Manchester City WFC | 2018/19,Manchester City WFC | 2018/19
3,Chelsea FCW,20,12,6,2,46,14,32,42,2018/19,114,46,0.0,68,59.65,35.94,87,45,42,77.02,57.659,19.36,74.44,44.858,29.58,20.577,5.5877,3.9896,15.06,32.34,26.13,5.46,6.239,4.221,15.68,24.14,7.44,24.14,35.21,32.75,31.24,32.75,5,10.87,6,8.82,0,40.35,1,1.47,0.049,0.131,7,15.22,8,11.76,0,0.0,2,2.94,0.1356,0.0755,Chelsea FCW | 2018/19,Chelsea FCW | 2018/19,Chelsea FCW | 2018/19,Chelsea FCW | 2018/19,Chelsea FCW | 2018/19,Chelsea FCW | 2018/19
4,Birmingham City WFC,20,13,1,6,29,17,12,40,2018/19,126,45,0.0,81,64.29,42.93,67,44,23,74.57,39.767,34.8,67.44,38.004,29.44,24.253,5.2302,5.0176,12.01,32.94,27.03,3.69,7.089,3.049,12.23,25.18,5.2,25.18,38.71,33.69,31.08,33.69,2,4.44,4,4.94,0,35.71,1,1.23,0.0127,0.0551,9,20.0,14,17.28,1,2.22,2,2.47,0.0779,0.1202,Birmingham City WFC | 2018/19,Birmingham City WFC | 2018/19,Birmingham City WFC | 2018/19,Birmingham City WFC | 2018/19,Birmingham City WFC | 2018/19,Birmingham City WFC | 2018/19
5,Reading WFC,20,8,3,9,33,30,3,27,2018/19,188,95,3.16,93,49.47,37.27,134,95,39,80.17,44.679,35.49,72.45,43.936,28.51,20.514,5.2287,4.9406,16.06,37.31,30.59,7.13,5.789,3.226,20.91,31.1,10.45,31.1,34.53,39.79,34.57,39.79,8,8.42,3,3.23,3,50.53,0,0.0,0.0764,0.1163,7,7.37,14,15.05,2,2.11,2,2.15,0.0772,0.147,Reading WFC | 2018/19,Reading WFC | 2018/19,Reading WFC | 2018/19,Reading WFC | 2018/19,Reading WFC | 2018/19,Reading WFC | 2018/19
6,Bristol City WFC,20,7,4,9,17,34,−17,25,2018/19,254,44,2.27,210,82.68,53.58,107,44,63,78.23,42.465,35.76,71.49,39.079,32.41,18.925,3.2559,7.1912,24.4,40.39,47.75,11.04,4.614,2.314,27.09,33.33,11.69,33.33,38.47,41.68,35.19,41.68,3,6.82,3,1.43,1,17.32,0,0.0,0.1816,0.0743,4,9.09,24,11.43,1,2.27,2,0.95,0.1241,0.092,Bristol City WFC | 2018/19,Bristol City WFC | 2018/19,Bristol City WFC | 2018/19,Bristol City WFC | 2018/19,Bristol City WFC | 2018/19,Bristol City WFC | 2018/19
7,West Ham United LFC,20,7,2,11,25,37,−12,23,2018/19,166,45,2.22,121,72.89,47.9,83,45,38,69.0,43.568,25.43,72.53,47.779,24.75,24.626,4.8554,6.7443,16.34,36.31,32.4,9.31,7.622,2.777,16.03,28.41,9.0,28.41,29.25,42.18,25.03,42.18,4,8.89,6,4.96,1,27.11,1,0.83,0.1177,0.1005,7,15.56,21,17.36,1,2.22,3,2.48,0.1281,0.1426,West Ham United LFC | 2018/19,West Ham United LFC | 2018/19,West Ham United LFC | 2018/19,West Ham United LFC | 2018/19,West Ham United LFC | 2018/19,West Ham United LFC | 2018/19
8,Liverpool WFC,20,7,1,12,21,38,−17,22,2018/19,177,25,0.0,152,85.88,49.65,85,25,60,67.32,36.625,30.69,65.96,41.527,24.43,16.739,3.8136,7.4875,26.96,37.45,41.94,8.01,5.12,2.75,20.31,32.24,16.19,32.24,33.94,38.81,31.93,38.81,2,8.0,1,0.66,0,14.12,0,0.0,0.0761,0.0605,4,16.0,13,8.55,1,4.0,0,0.0,0.0239,0.0507,Liverpool WFC | 2018/19,Liverpool WFC | 2018/19,Liverpool WFC | 2018/19,Liverpool WFC | 2018/19,Liverpool WFC | 2018/19,Liverpool WFC | 2018/19
9,Brighton & Hove Albion WFC,20,4,4,12,16,38,−22,16,2018/19,184,82,0.0,102,55.43,34.78,116,79,37,59.22,41.852,17.37,63.8,38.945,24.85,21.587,3.8587,5.6966,13.15,35.8,29.46,5.66,4.402,2.451,14.68,27.78,6.5,27.78,37.95,38.08,31.37,38.08,5,6.1,4,3.92,0,44.57,0,0.0,0.041,0.0486,10,12.2,11,10.78,0,0.0,2,1.96,0.1159,0.1017,Brighton & Hove Albion WFC | 2018/19,Brighton & Hove Albion WFC | 2018/19,Brighton & Hove Albion WFC | 2018/19,Brighton & Hove Albion WFC | 2018/19,Brighton & Hove Albion WFC | 2018/19,Brighton & Hove Albion WFC | 2018/19
10,Everton LFC,20,3,3,14,15,38,−23,12,2018/19,183,67,1.49,116,63.39,36.05,127,66,61,67.06,41.879,25.18,72.08,39.273,32.81,19.931,4.2787,5.8384,22.69,34.15,36.23,11.22,4.791,2.991,23.68,36.1,11.65,36.1,37.5,35.87,29.74,35.87,6,8.96,9,7.76,1,36.61,1,0.86,0.1932,0.11,14,20.9,10,8.62,0,0.0,1,0.86,0.0577,0.1341,Everton LFC | 2018/19,Everton LFC | 2018/19,Everton LFC | 2018/19,Everton LFC | 2018/19,Everton LFC | 2018/19,Everton LFC | 2018/19
